Employee_ID,Start_Date,Job_ID,Department_ID
1,2019-01-15,101,1
2,2020-03-10,102,1
3,2021-06-05,103,1
4,2018-08-01,104,1
5,2017-12-20,105,1
6,2019-02-28,201,2
7,2020-05-12,202,2
8,2021-08-25,203,2
9,2018-10-15,204,2
10,2017-11-30,205,2
11,2019-04-18,301,3
12,2020-07-01,302,3
13,2021-09-14,303,3
14,2018-12-05,304,3
15,2017-10-20,305,3
16,2019-03-10,401,4
17,2020-06-05,402,4
18,2021-09-28,403,4
19,2018-11-10,404,4
20,2017-10-01,405,4
21,2019-07-22,501,5
22,2020-10-12,502,5
23,2021-12-03,503,5
24,2018-09-17,504,5
25,2019-11-25,601,6
26,2020-12-15,602,6
